no,query,category,lifestyle_category,sub_category,phase,intent,type,type_reason,language,is_new,phase_n,cluster
1,日本旅行 eSIMとポケットWi-Fi どっちがいい,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（どっちがいい）。直接CV可能,ja,N,pre,P2_比較
2,日本 eSIM おすすめ,通信・eSIM,,existing_master,旅行前,おすすめ,B,購入・比較・設定クエリ（おすすめ）。直接CV可能,ja,N,pre,P1_おすすめHub
3,日本 SIMカード どこで買う,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（どこで買う）。直接CV可能,ja,N,pre,C1_購入・価格
4,成田空港 SIMカード 営業時間,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,pre,P2_比較
5,羽田空港 ポケットWi-Fi レンタル 予約なし,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,pre,P2_比較
6,日本 eSIM 対応機種 確認方法,通信・eSIM,,existing_master,旅行前,やり方,A,情報提供クエリ（対応機種）。権威構築・AI引用狙い,ja,N,pre,C2_設定・機種
7,日本旅行 ネット環境 どうしてる,通信・eSIM,,existing_master,旅行前,知りたい,A,通信・eSIM関連情報クエリ。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
8,Ubigi eSIM 日本 評判,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（評判）。直接CV可能,ja,N,pre,P2_比較
9,Airalo eSIM 日本 速度,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（airalo）。直接CV可能,ja,N,pre,P2_比較
10,日本 フリーWi-Fi 使えるか,通信・eSIM,,existing_master,旅行前,知りたい,A,通信・eSIM関連情報クエリ。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
11,日本 SIMカード 電話番号付き 必要か,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C4_機能・認証
12,日本 eSIM 購入 いつ,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（購入）。直接CV可能,ja,N,pre,C1_購入・価格
13,日本 ポケットWi-Fi 複数人,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
14,日本 SIMカード Amazon 事前購入,通信・eSIM,,existing_master,旅行前,やり方,B,購入・比較・設定クエリ（購入）。直接CV可能,ja,N,pre,C1_購入・価格
15,日本 eSIM 設定方法 出発前,通信・eSIM,,existing_master,旅行前,やり方,B,購入・比較・設定クエリ（設定）。直接CV可能,ja,N,pre,C2_設定・機種
16,日本旅行 SIMカード 容量 どれくらい必要,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C5_容量・プラン
17,日本 14日間 eSIM おすすめ,通信・eSIM,,existing_master,旅行前,おすすめ,B,購入・比較・設定クエリ（おすすめ）。直接CV可能,ja,N,pre,P1_おすすめHub
18,日本 1ヶ月 ポケットWi-Fi 安い,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（安い）。直接CV可能,ja,N,pre,P2_比較
19,日本 eSIM 無制限 本当か,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（無制限）。直接CV可能,ja,N,pre,C5_容量・プラン
20,日本 SIMカード Klook 評判,通信・eSIM,,existing_master,旅行前,比較,B,購入・比較・設定クエリ（評判）。直接CV可能,ja,N,pre,C1_購入・価格
21,関西国際空港 SIMカード 受け取り,通信・eSIM,,existing_master,旅行前,やり方,B,購入・比較・設定クエリ（空港）。直接CV可能,ja,N,pre,P2_比較
22,日本 eSIM テザリング できるか,通信・eSIM,,existing_master,旅行前,知りたい,B,購入・比較・設定クエリ（テザリング）。直接CV可能,ja,N,pre,C4_機能・認証
23,日本 ポケットWi-Fi バッテリー 持ち,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
24,日本 SIMカード 音声通話,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C4_機能・認証
25,日本 eSIM アクティベート タイミング,通信・eSIM,,existing_master,旅行前,やり方,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C2_設定・機種
26,日本旅行 ネット 必須か,通信・eSIM,,existing_master,旅行前,知りたい,A,通信・eSIM関連情報クエリ。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
27,日本 フリーWi-Fi セキュリティ,通信・eSIM,,existing_master,旅行前,知りたい,A,通信・eSIM関連情報クエリ。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
28,日本 eSIM 複数国 アジア周遊,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
29,日本 SIMカード 審査 あるか,通信・eSIM,,existing_master,旅行前,知りたい,A,情報提供クエリ（sim）。権威構築・AI引用狙い,ja,N,pre,C10_一般知識
30,日本 ポケットWi-Fi 返却方法,通信・eSIM,,existing_master,旅行前,やり方,A,情報提供クエリ（ポケットwi-fi）。権威構築・AI引用狙い,ja,N,pre,P2_比較
